"","101135-S45-L001","101184-S125-L001","101325-S44-L001","101432-S8-L001","101450-S103-L001","101534-S9-L001","101583-S11-L001","102681-S51-L001","103225-S78-L001","103584-S31-L001","104269-S50-L001","104850-S87-L001","125242-S105-L001","125359-S59-L001","125692-S92-L001","126221-S4-L001","126456-S38-L001","126681-S117-L001","126724-S100-L001","126858-S54-L001","127255-S102-L001","127515-S70-L001","128216-S76-L001","128348-S18-L001","128489-S8-L001","129227-S28-L001","129441-S5-L001","129700-S54-L001","207340-S80-L001","207639-S128-L001","208194-S70-L001","208823-S20-L001","208901-S66-L001","209012-S40-L001","209218-S21-L001","210494-S104-L001","224863-S113-L001","224928-S31-L001","224989-S61-L001","225117-S14-L001","230864-S97-L001"
"ASV_37",0.00798125794155019,0.0123223690748286,0.0105217129895329,0.0236751609205537,0.0142310960067969,0.0113312801441106,0.0123072536767326,0.0234700683675171,0.0169421730690041,0.0192244717122879,0.00758797872976041,0.0190897001415641,0.0118255728011826,0.0164794697109188,0.0176222129898906,0.0117936534871882,0.0367418975291475,0.0106085065726617,0.0476824231298761,0.0140852206515681,0.0201793067196215,0.0295623274637506,0.0191659470150709,0.0263364779874214,0.00695237784378366,0.0395695162143467,0.0175648172728077,0.0290022768840282,0.00722757598220904,0.0220393360301297,0.0469380888290713,0.0182707993474715,0.036117671218811,0.00683783829527952,0.027908507487247,0.0450785935478813,0.0206143992408967,0.0331460237719139,0.0218238503507405,0.0131841992054053,0.00843902926195945
"ASV_47",0,0.00751929510748948,0.00248695034298051,0.00264526937659818,0.0038232795242141,0.00554942181416701,0.0094086340849153,0.000750375187593797,0.00331392042669177,0.000404522951861769,0.00358487184083169,0.0341469692419888,0.00189393939393939,0.0163505800036826,0,0.011963346343119,0.00155096801796984,0.00253681678911475,0.00119320789352914,0,0.00032123353678124,0,0.0116165696297741,0.00643671383647799,0.000718085974475308,0.008239410831265,0.00513228917794885,0.0164980777126647,0.00963676797627873,0.00437067001441391,0.000869223867205025,0.0115171288743883,0.000308039839819283,0.00123554998899853,0.00121770610498601,0.000587981654972365,0.00977345510615585,0.00598182147758759,0.00599181605611847,0.03125237239669,0
"ASV_53",0.00889453621346887,0.00255059789989731,0.0129540050832172,0.00462922140904682,0.0122840555083546,0.0100528793073392,0.0143030245432298,0.00275137568784392,0.0225503460987901,0.00868761196617418,0.0127860428989664,0.00450431126935781,0.0109247967479675,0.0295709814030565,0.00820523473203157,0.00121613213417048,0.0116857417905658,0.015748031496063,0.00392381826525929,0.0329330698687744,0.0153316006191046,0.000964862909061671,0.0309496615316043,0.00904088050314465,0.012631785096452,0.00832078772836392,0.00491106981683037,0.00556156918368109,0.00209149634650005,0.0132050030222718,0.0253196500672948,0.0032626427406199,0.017763630762912,0.00709171843000525,0.00684548296857002,0.0278311316686919,0.0159411694935358,0.0913069373591941,0.00915822291504287,0.0050864185034289,0.00147308498951363
"ASV_55",0.000754447268106734,0,0.00661364816484928,0.00855303765100079,0.00545171339563863,0.0154860828636179,0.00672384708593694,0.00610722027680507,0.0137851246151734,0.0132722054206076,0.00385373722889407,0.00317446698983313,0.00813008130081301,0.00697845700607623,0.0039122005262429,0.00455342496747554,0.0156433843191785,0.0127829209633315,0.00406149609912804,0,0.0310428408725871,0.016590281686366,0.00696437028163913,0.00383254716981132,0.0244149231321605,0.00856491841966066,0,0.00578552498973536,0.00987503971195595,0,0,0.00978792822185971,0.0121162336995585,0.00445136502885771,0.00230376830673029,0.015914703461252,0.0068793737397699,0.0127146075562576,0.00745323460639127,0.00199913961080042,0.00274642964146609
"ASV_59",0.00103240152477764,0.00546556692835139,0.00136645623240688,0.00255709373071158,0.00548711413197395,0.00142367365913185,0.00909976478414788,0.0518175754543939,0.0038237543384905,0.0304355363781712,0.0257214554579674,0.01647290978508,0.0191010716925351,0.076265881053213,0.00830909846281678,0.0187227784376944,0.0144133062359611,0.002800382169802,0.0169802661771455,0.0191518467852257,0.000700873171159069,0.0108815094744177,0.00228431345237764,0.0107606132075472,0.0153409276365179,0.00101721121373642,0.00316343686399434,0.00604680676346534,0.00328285502488616,0.00841586460222253,0.0236372812920592,0.00212071778140294,0.00143751925248999,0.0127109320786013,0.0201744281717953,0.0159931010152483,0.0258806784485826,0.014009374109848,0.0164166017147311,0.0103752815244072,0.00444422251073604
"ASV_61",0,0.00771804299579317,0.00286955808805444,0,0.00587652223166242,0,0.00921856066905842,0.017029348007337,0.000902013843951605,0,0.000418235048097031,0,0.00168606799704361,0,0.00308129067996122,0.00851292493919339,0.00735372767140871,0.00942246235956907,0.02088113813676,0.0101332522673152,0,0.0036450376564552,0.00342647017856645,0,0.00649541404184483,0.0124099768075843,0,0.00376992273524691,0.0014561050513608,0.0173896870786256,0,0.0257748776508972,0.00302905842488962,0.000270805477040773,0,0.0506448198816197,0.0150160123354288,0,0.00786730319563523,0.00288483437507908,0
"ASV_62",0,0.00202060353108748,0.00513787543384985,0.00101401992769597,0.000708014726706316,0.0004067639026091,0.00468055786547554,0.0106511589127897,0.00447085122654274,0.0023308227226321,0.0069905000896218,0.00428982025653125,0,0.0425151905726386,0,0.000735335709033316,0.000133704139480158,0,0.022418540614961,0,0,0.000375224464635094,0.0203916761846394,0.00063875786163522,0,0.0134271880213207,0,0.00100780112724422,0,0.00130190170642117,0.0044302377747869,0.0113866231647635,0,0.00495912529830916,0.00651637321046569,0,0.00064049341715099,0,0,0.00167016726978263,0.0135324078697693
"ASV_72",0.0115946632782719,0.00218622677134055,0.00207701347325845,0.00524645093025306,0.00566411781365052,0.0212679411935615,0.0107153888189313,0,0.012157577896739,0,0.000836470096194061,0.00596285015657844,0.00318736141906874,0.00136254833364021,0.00315053316715136,0.000876746422308954,0.013530858915392,0.00164728362929529,0.0039008719596145,0,0.00245305609905674,0.00927340462598161,0.00220074100899797,0.0120872641509434,0.00153409276365179,0.0108231273141555,0.00349526590567206,0.00365794483221978,0.0063274383140951,0,0,0.00528548123980424,0.0135024129787453,0.00587309378332177,0.00444298173440843,0.00286151072086551,0.00612027043055391,0.00116528989823135,0.00504189399844115,0.0061492522205633,0.00481873564366324
"ASV_78",0.000833862770012706,0.00314684156480837,0.000573911617610888,0,0.00130982724440668,0,0.00161562403478343,0.00135484408871102,0.00154911073200384,0.000481574942692582,0.00391348509290793,0.0051477843078375,0.00163987435328899,0.0173816976615725,0.000865531089876748,0.0206742462808982,0.00141726387848968,0.0114321483873093,0.000321248279027077,0.214672949283072,0.0170837835470023,0,0.0106415577903446,0.00201454402515723,0.0222933054803016,0.00516743296578101,0.00433589947792231,0.00966742562800941,0.0026474637297469,0.0233412377365509,0.00465455361148497,0.000456769983686786,0.00372214806448301,0.0248971785454361,0.00115188415336515,0,0,0.0110832016987337,0.00119349181605612,0.00936305893666017,0.00279636472585639
"ASV_81",0,0.00231872536354301,0.0139925118198464,0.000484966052376334,0.016142735768904,0.00168516473938056,0.0430991470455463,0.00625312656328164,0.0174912249740181,0.000597152928938801,0.0187309553683456,0.0169018918107331,0.00840724316334072,0.0728226845884736,0.000415454923140839,0.00794728208609084,0.00299497272435555,0.00154844661153757,0.00435979807251033,0.0204691695799767,0,0.00150089785854038,0.0235117140708137,0.00255503144654088,0.000359042987237654,0.0384709281035114,0.00652597115299531,0.00679332611697958,0.00121783331568358,0.0110196680150649,0.000280394795872589,0.0299510603588907,0.00379915802443783,0.00060931232334174,0.0061214415007405,0.00176394496491709,0.00102004507175898,0.0105911904083694,0.00131527669524552,0.00255586203406129,0.00019974033756117
